iter	Passed	Remaining
0	1	576
1	4	623
2	5	555
3	6	514
4	7	471
5	9	441
6	9	411
7	10	395
8	11	366
9	12	363
10	13	364
11	15	367
12	17	389
13	18	374
14	18	360
15	20	356
16	21	351
17	22	349
18	23	340
19	23	335
20	24	331
21	26	333
22	28	342
23	29	337
24	30	333
25	31	328
26	32	324
27	32	316
28	33	316
29	35	317
30	36	320
31	38	322
32	40	325
33	40	319
34	41	314
35	42	310
36	43	307
37	44	306
38	46	308
39	47	308
40	49	310
41	50	310
42	51	307
43	52	304
44	54	306
45	55	308
46	56	305
47	57	304
48	58	302
49	60	301
50	62	305
51	63	304
52	65	303
53	66	301
54	67	300
55	69	300
56	70	301
57	71	299
58	73	298
59	74	296
60	75	294
61	76	292
62	77	292
63	79	293
64	80	290
65	81	288
66	83	290
67	85	290
68	86	288
69	87	288
70	89	287
71	91	288
72	92	286
73	93	285
74	94	284
75	96	285
76	97	282
77	98	281
78	99	279
79	101	278
80	102	277
81	104	276
82	105	276
83	107	275
84	108	273
85	109	272
86	110	271
87	111	269
88	113	268
89	113	265
90	114	263
91	116	262
92	117	261
93	118	260
94	120	260
95	121	257
96	122	256
97	123	254
98	124	252
99	125	251
100	126	249
101	127	247
102	129	247
103	130	246
104	133	247
105	133	245
106	134	243
107	135	241
108	136	239
109	137	238
110	139	237
111	141	237
112	143	237
113	145	237
114	147	236
115	148	235
116	149	234
117	151	234
118	154	235
119	156	235
120	158	234
121	160	233
122	161	232
123	163	231
124	165	231
125	167	231
126	169	230
127	170	229
128	172	228
129	173	226
130	175	226
131	177	225
132	179	225
133	180	224
134	183	223
135	185	223
136	186	222
137	188	221
138	190	220
139	192	220
140	194	219
141	196	218
142	197	217
143	199	215
144	200	214
145	202	213
146	204	212
147	205	211
148	206	209
149	207	207
150	208	205
151	209	204
152	210	202
153	212	201
154	214	200
155	215	199
156	217	197
157	218	196
158	220	195
159	221	193
160	222	192
161	225	191
162	227	191
163	228	189
164	230	188
165	232	187
166	233	186
167	235	185
168	238	184
169	240	183
170	242	182
171	243	181
172	245	180
173	247	179
174	250	178
175	252	177
176	254	176
177	256	176
178	258	175
179	260	173
180	262	172
181	264	171
182	265	170
183	268	169
184	272	169
185	275	168
186	276	167
187	278	165
188	279	164
189	281	162
190	283	162
191	286	161
192	288	160
193	290	158
194	291	157
195	294	156
196	295	154
197	297	153
198	300	152
199	302	151
200	304	149
201	305	148
202	307	146
203	308	145
204	310	143
205	312	142
206	313	140
207	315	139
208	317	138
209	318	136
210	319	134
211	321	133
212	323	132
213	325	130
214	327	129
215	329	128
216	330	126
217	332	124
218	333	123
219	335	122
220	337	120
221	339	119
222	340	117
223	342	116
224	343	114
225	345	113
226	348	112
227	350	110
228	352	109
229	354	107
230	355	106
231	357	104
232	359	103
233	361	101
234	362	100
235	364	98
236	365	97
237	367	95
238	368	94
239	370	92
240	372	91
241	374	89
242	376	88
243	377	86
244	379	85
245	380	83
246	382	82
247	384	80
248	386	79
249	387	77
250	389	75
251	390	74
252	392	72
253	393	71
254	395	69
255	397	68
256	399	66
257	401	65
258	402	63
259	404	62
260	406	60
261	408	59
262	410	57
263	412	56
264	414	54
265	415	53
266	417	51
267	420	50
268	421	48
269	423	47
270	424	45
271	426	43
272	427	42
273	429	40
274	431	39
275	433	37
276	434	36
277	436	34
278	437	32
279	439	31
280	440	29
281	442	28
282	444	26
283	446	25
284	447	23
285	449	22
286	451	20
287	452	18
288	454	17
289	456	15
290	457	14
291	459	12
292	461	11
293	462	9
294	464	7
295	465	6
296	467	4
297	469	3
298	470	1
299	472	0
